ticker,company_name,ceo_name,ceo_title,tenure_duration,start_date,education,num_past_roles,num_highlights,linkedin_url,source,fetch_timestamp
NVDA,NVIDIA Corporation,Jensen Huang,"President, CEO and Co-Founder",32 years,April 1993,"Stanford University (MS Electrical Engineering), Oregon State University (BS Electrical Engineering)",2,4,Not found,NVIDIA official records,2025-10-07T01:04:59.376095
MU,Micron Technology Inc,Sanjay Mehrotra,President and Chief Executive Officer,8 years,May 2017,"University of California, Berkeley (BS/MS Electrical Engineering)",2,4,Not found,Micron Technology official records,2025-10-07T01:05:02.378388
AVGO,Broadcom Inc,Hock Tan,President and Chief Executive Officer,19 years,March 2006,"MIT (SM Management), University of Malaysia (BS Mechanical Engineering)",2,3,Not found,Broadcom official records,2025-10-07T01:05:05.383095
TSM,Taiwan Semiconductor Manufacturing Co Ltd,C. C. Wei,Chairman and Chief Executive Officer,7 years,June 2018,"National Taiwan University (BS Electrical Engineering), Yale University (MS Electrical Engineering)",2,3,Not found,TSMC official records,2025-10-07T01:05:08.388875
VRT,Vertiv Holdings Co,Giordano Albertazzi,Chief Executive Officer,2 years,January 2023,University of Bologna (BS Mechanical Engineering),2,2,Not found,Vertiv Holdings official records,2025-10-07T01:05:11.390584
SMCI,Super Micro Computer Inc,Charles Liang,"President, Chief Executive Officer and Chairman",32 years,September 1993,MS Electrical Engineering,1,3,Not found,Super Micro Computer official records,2025-10-07T01:05:14.395327
INOD,Innodata Inc,Jack Abuhoff,President and Chief Executive Officer,28 years,September 1997,MBA and Law degrees,1,3,Not found,Innodata official records,2025-10-07T01:05:17.400446
RR,Richtech Robotics Inc,Wayne Huang,Chief Executive Officer and Co-Founder,9 years,July 2016,Engineering background,1,3,Not found,Richtech Robotics official records,2025-10-07T01:05:20.405667
IREN,Iris Energy Limited,Daniel Roberts,Chief Executive Officer and Co-Founder,7 years,November 2018,University of Sydney (Finance and Economics),2,4,Not found,Iris Energy official records,2025-10-07T01:05:23.410221
CIFR,Cipher Mining Inc,Tyler Page,Chief Executive Officer and Director,4 years,August 2021,Business and technology background,1,3,Not found,Cipher Mining official records,2025-10-07T01:05:26.412449
RIOT,Riot Platforms Inc,Jason Les,Chief Executive Officer,4 years,February 2021,"University of California, Irvine (BS Computer Science)",2,3,Not found,Riot Platforms official records,2025-10-07T01:05:29.419345
OKLO,Oklo Inc,Jacob DeWitte,Chief Executive Officer and Co-Founder,12 years,January 2013,"MIT (PhD Nuclear Science and Engineering, SM Nuclear Science and Engineering), University of Michigan (BS Nuclear Engineering)",1,4,Not found,Oklo official records,2025-10-07T01:05:32.420915
SMR,NuScale Power Corporation,John Hopkins,President and Chief Executive Officer,13 years,December 2012,"US Naval Academy (BS), Naval Postgraduate School (MS)",3,4,Not found,NuScale Power official records,2025-10-07T01:05:35.422918
CCJ,Cameco Corporation,Tim Gitzel,President and Chief Executive Officer,14 years,July 2011,University of Saskatchewan,2,3,Not found,Cameco Corporation official records,2025-10-07T01:05:38.428256
VST,Vistra Corp,Jim Burke,President and Chief Executive Officer,3 years,August 2022,MBA and Finance degrees,2,3,Not found,Vistra Corp official records,2025-10-07T01:05:41.434360
NXE,NexGen Energy Ltd,Leigh Curyer,"Chief Executive Officer, President and Founder",14 years,January 2011,Mining and resources background,1,3,Not found,NexGen Energy official records,2025-10-07T01:05:44.436601
EOSE,Eos Energy Enterprises Inc,Joe Mastrangelo,Chief Executive Officer,6 years,August 2019,Engineering and business degrees,2,3,Not found,Eos Energy Enterprises official records,2025-10-07T01:05:47.441396
QS,QuantumScape Corp,Siva Sivaram,President and Chief Executive Officer,1 year,February 2024,PhD in Materials Science,2,3,Not found,QuantumScape official records,2025-10-07T01:05:50.446938
